,PERSON_ID,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FI_LAST,PLAYER_SLUG,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,ROSTERSTATUS,GAMES_PLAYED_CURRENT_SEASON_FLAG,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_CITY,PLAYERCODE,FROM_YEAR,TO_YEAR,DLEAGUE_FLAG,NBA_FLAG,GAMES_PLAYED_FLAG,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GREATEST_75_FLAG
10,1630173,Precious,Achiuwa,Precious Achiuwa,"Achiuwa, Precious",P. Achiuwa,precious-achiuwa,1999-09-19T00:00:00,Memphis,Nigeria,Memphis/Nigeria,6-8,225,2,5,Forward,Active,Y,1610612761,Raptors,TOR,raptors,Toronto,precious_achiuwa,2020,2022,N,Y,Y,2020,1,20,N
11,101165,Alex,Acker,Alex Acker,"Acker, Alex",A. Acker,alex-acker,1983-01-21T00:00:00,Pepperdine,USA,Pepperdine/USA,6-5,185,3,3,Guard,Inactive,N,1610612746,Clippers,LAC,clippers,Los Angeles,alex_acker,2005,2008,Y,Y,Y,2005,2,60,N
12,76008,Donald,Ackerman,Donald Ackerman,"Ackerman, Donald",D. Ackerman,donald-ackerman,1930-09-04T00:00:00,Long Island-Brooklyn,USA,Long Island-Brooklyn/USA,6-0,183,1,,Guard,Inactive,N,1610612752,Knicks,NYK,knicks,New York,HISTADD_buddy_ackerman,1953,1953,N,Y,Y,1953,2,,N
13,76009,Mark,Acres,Mark Acres,"Acres, Mark",M. Acres,mark-acres,1962-11-15T00:00:00,Oral Roberts,USA,Oral Roberts/USA,6-11,220,6,42,Center,Inactive,N,1610612753,Magic,ORL,magic,Orlando,HISTADD_mark_acres,1987,1992,N,Y,Y,1985,2,40,N
14,76010,Charles,Acton,Charles Acton,"Acton, Charles",C. Acton,charles-acton,1942-01-11T00:00:00,Hillsdale,USA,Hillsdale/USA,6-6,210,1,24,Forward,Inactive,N,1610612745,Rockets,SDR,rockets,San Diego,HISTADD_bud_acton,1967,1967,N,Y,Y,Undrafted,Undrafted,Undrafted,N
15,203112,Quincy,Acy,Quincy Acy,"Acy, Quincy",Q. Acy,quincy-acy,1990-10-06T00:00:00,Baylor,USA,Baylor/USA,6-7,240,7,,Forward,Inactive,N,1610612758,Kings,SAC,kings,Sacramento,quincy_acy,2012,2018,Y,Y,Y,2012,2,37,N
16,76011,Alvan,Adams,Alvan Adams,"Adams, Alvan",A. Adams,alvan-adams,1954-07-19T00:00:00,Oklahoma,USA,Oklahoma/USA,6-9,210,13,33,Center,Inactive,N,1610612756,Suns,PHX,suns,Phoenix,HISTADD_alvan_adams,1975,1987,N,Y,Y,1975,1,4,N
17,76012,Don,Adams,Don Adams,"Adams, Don",D. Adams,don-adams,1947-11-27T00:00:00,Northwestern,USA,Northwestern/USA,6-7,210,7,10,Forward,Inactive,N,1610612765,Pistons,DET,pistons,Detroit,HISTADD_don_adams,1970,1976,N,Y,Y,1970,8,120,N
18,200801,Hassan,Adams,Hassan Adams,"Adams, Hassan",H. Adams,hassan-adams,1984-06-20T00:00:00,Arizona,USA,Arizona/USA,6-4,220,2,,Forward,Inactive,N,1610612751,Nets,NJN,nets,New Jersey,hassan_adams,2006,2008,N,Y,Y,2006,2,54,N
19,1629121,Jaylen,Adams,Jaylen Adams,"Adams, Jaylen",J. Adams,jaylen-adams,1996-05-04T00:00:00,St. Bonaventure,USA,St. Bonaventure/USA,6-0,225,3,,Guard,Inactive,N,1610612737,Hawks,ATL,hawks,Atlanta,jaylen_adams,2018,2020,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
20,203919,Jordan,Adams,Jordan Adams,"Adams, Jordan",J. Adams,jordan-adams,1994-07-08T00:00:00,UCLA,USA,UCLA/USA,6-5,209,3,3,Guard,Inactive,N,1610612763,Grizzlies,MEM,grizzlies,Memphis,jordan_adams,2014,2015,Y,Y,Y,2014,1,22,N
21,149,Michael,Adams,Michael Adams,"Adams, Michael",M. Adams,michael-adams,1963-01-19T00:00:00,Boston College,USA,Boston College/USA,5-10,165,11,23,Guard,Inactive,N,1610612743,Nuggets,DEN,nuggets,Denver,michael_adams,1985,1995,N,Y,Y,1985,3,66,N
22,203500,Steven,Adams,Steven Adams,"Adams, Steven",S. Adams,steven-adams,1993-07-20T00:00:00,Pittsburgh,New Zealand,Pittsburgh/New Zealand,6-11,265,9,4,Center,Active,Y,1610612763,Grizzlies,MEM,grizzlies,Memphis,steven_adams,2013,2022,N,Y,Y,2013,1,12,N
23,912,Rafael,Addison,Rafael Addison,"Addison, Rafael",R. Addison,rafael-addison,1964-07-22T00:00:00,Syracuse,USA,Syracuse/USA,6-8,241,6,7,Forward,Inactive,N,1610612751,Nets,NJN,nets,New Jersey,rafael_addison,1986,1996,N,Y,Y,1986,2,39,N
24,1628389,Bam,Adebayo,Bam Adebayo,"Adebayo, Bam",B. Adebayo,bam-adebayo,1997-07-18T00:00:00,Kentucky,USA,Kentucky/USA,6-9,255,5,13,Center-Forward,Active,Y,1610612748,Heat,MIA,heat,Miami,bam_adebayo,2017,2022,N,Y,Y,2017,1,14,N
25,1629061,Deng,Adel,Deng Adel,"Adel, Deng",D. Adel,deng-adel,1997-02-01T00:00:00,Louisville,South Sudan,Louisville/South Sudan,6-7,200,2,32,Forward,Inactive,N,1610612739,Cavaliers,CLE,cavaliers,Cleveland,deng_adel,2018,2018,Y,Y,Y,2018,,,N
26,76015,Rick,Adelman,Rick Adelman,"Adelman, Rick",R. Adelman,rick-adelman,1946-06-16T00:00:00,Loyola-Marymount,USA,Loyola-Marymount/USA,6-2,175,7,5,Guard,Inactive,N,1610612757,Trail Blazers,POR,blazers,Portland,HISTADD_rick_adelman,1968,1974,N,Y,Y,1968,7,79,N
27,202399,Jeff,Adrien,Jeff Adrien,"Adrien, Jeff",J. Adrien,jeff-adrien,1986-02-10T00:00:00,Connecticut,USA,Connecticut/USA,,,6,,,Inactive,N,1610612766,Bobcats,CHA,hornets,Charlotte,jeff_adrien,2010,2014,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
28,201167,Arron,Afflalo,Arron Afflalo,"Afflalo, Arron",A. Afflalo,arron-afflalo,1985-10-15T00:00:00,UCLA,USA,UCLA/USA,6-5,210,12,4,Guard,Inactive,N,1610612743,Nuggets,DEN,nuggets,Denver,arron_afflalo,2007,2017,N,Y,Y,2007,1,27,N
29,1630534,Ochai,Agbaji,Ochai Agbaji,"Agbaji, Ochai",O. Agbaji,ochai-agbaji,2000-04-20T00:00:00,Kansas,USA,Kansas/USA,6-5,215,0,30,Guard,Active,Y,1610612762,Jazz,UTA,jazz,Utah,ochai_agbaji,2022,2022,N,Y,Y,2022,1,14,N
30,200772,Maurice,Ager,Maurice Ager,"Ager, Maurice",M. Ager,maurice-ager,1984-02-09T00:00:00,Michigan State,USA,Michigan State/USA,6-5,202,4,,Forward-Guard,Inactive,N,1610612742,Mavericks,DAL,mavericks,Dallas,maurice_ager,2006,2010,Y,Y,Y,2006,1,28,N
31,76016,Mark,Aguirre,Mark Aguirre,"Aguirre, Mark",M. Aguirre,mark-aguirre,1959-12-10T00:00:00,DePaul,USA,DePaul/USA,6-6,232,13,7,Forward,Inactive,N,1610612742,Mavericks,DAL,mavericks,Dallas,HISTADD_mark_aguirre,1981,1993,N,Y,Y,1981,1,1,N
32,201336,Blake,Ahearn,Blake Ahearn,"Ahearn, Blake",B. Ahearn,blake-ahearn,1984-05-27T00:00:00,Missouri State,USA,Missouri State/USA,6-2,190,4,2,Guard,Inactive,N,1610612748,Heat,MIA,heat,Miami,blake_ahearn,2007,2011,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
33,76017,Danny,Ainge,Danny Ainge,"Ainge, Danny",D. Ainge,danny-ainge,1959-03-17T00:00:00,Brigham Young,USA,Brigham Young/USA,6-5,175,14,22,Guard,Inactive,N,1610612738,Celtics,BOS,celtics,Boston,HISTADD_danny_ainge,1981,1994,N,Y,Y,1981,2,31,N
34,201582,Alexis,Ajinca,Alexis Ajinca,"Ajinca, Alexis",A. Ajinca,alexis-ajinca,1988-05-06T00:00:00,Hyeres-Toulon,France,Hyeres-Toulon/France,7-2,248,8,42,Center,Inactive,N,1610612740,Pelicans,NOP,pelicans,New Orleans,alexis_ajinca,2008,2017,Y,Y,Y,2008,1,20,N
35,76018,Henry,Akin,Henry Akin,"Akin, Henry",H. Akin,henry-akin,1944-07-31T00:00:00,Morehead State,USA,Morehead State/USA,6-10,225,2,10,Center,Inactive,N,1610612752,Knicks,NYK,knicks,New York,HISTADD_henry_akin,1966,1967,N,Y,Y,1966,2,11,N
36,203006,Josh,Akognon,Josh Akognon,"Akognon, Josh",J. Akognon,josh-akognon,1986-02-10T00:00:00,California State-Fullerton,USA,California State-Fullerton/USA,5-11,185,2,10,Guard,Inactive,N,1610612742,Mavericks,DAL,mavericks,Dallas,josh_akognon,2012,2012,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
37,1629152,DeVaughn,Akoon-Purcell,DeVaughn Akoon-Purcell,"Akoon-Purcell, DeVaughn",D. Akoon-Purcell,devaughn-akoon-purcell,1993-06-05T00:00:00,Illinois State,Trinidad and Tobago,Illinois State/Trinidad and Tobago,6-6,200,2,,Guard-Forward,Inactive,N,1610612743,Nuggets,DEN,nuggets,Denver,devaughn_akoon-purcell,2018,2018,Y,Y,Y,2016,,,N
38,202374,Solomon,Alabi,Solomon Alabi,"Alabi, Solomon",S. Alabi,solomon-alabi,1988-03-21T00:00:00,Florida State,Nigeria,Florida State/Nigeria,7-1,252,3,50,Center,Inactive,N,1610612761,Raptors,TOR,raptors,Toronto,solomon_alabi,2010,2011,Y,Y,Y,2010,2,50,N
39,76019,Mark,Alarie,Mark Alarie,"Alarie, Mark",M. Alarie,mark-alarie,1963-12-11T00:00:00,Duke,USA,Duke/USA,6-8,217,5,31,Forward,Inactive,N,1610612764,Bullets,WAS,wizards,Washington,HISTADD_mark_alarie,1986,1990,N,Y,Y,1986,1,18,N
40,76020,Gary,Alcorn,Gary Alcorn,"Alcorn, Gary",G. Alcorn,gary-alcorn,1936-10-08T00:00:00,Fresno State,USA,Fresno State/USA,6-9,225,2,24,Center,Inactive,N,1610612765,Pistons,DET,pistons,Detroit,HISTADD_gary_alcorn,1959,1960,N,Y,Y,1959,3,16,N
41,1630583,Santi,Aldama,Santi Aldama,"Aldama, Santi",S. Aldama,santi-aldama,2001-01-10T00:00:00,Loyola-Maryland,Spain,Loyola-Maryland/Spain,7-0,215,1,7,Forward-Center,Active,Y,1610612763,Grizzlies,MEM,grizzlies,Memphis,santi_aldama,2021,2022,Y,Y,Y,2021,1,30,N
42,203128,Furkan,Aldemir,Furkan Aldemir,"Aldemir, Furkan",F. Aldemir,furkan-aldemir,1991-08-09T00:00:00,Galatasaray,Turkey,Galatasaray/Turkey,6-10,240,2,19,Forward-Center,Inactive,N,1610612755,76ers,PHI,sixers,Philadelphia,furkan_aldemir,2014,2014,N,Y,Y,2012,2,53,N
43,202332,Cole,Aldrich,Cole Aldrich,"Aldrich, Cole",C. Aldrich,cole-aldrich,1988-10-31T00:00:00,Kansas,USA,Kansas/USA,6-11,253,9,45,Center,Inactive,N,1610612752,Knicks,NYK,knicks,New York,cole_aldrich,2010,2017,Y,Y,Y,2010,1,11,N
44,200746,LaMarcus,Aldridge,LaMarcus Aldridge,"Aldridge, LaMarcus",L. Aldridge,lamarcus-aldridge,1985-07-19T00:00:00,Texas-Austin,USA,Texas-Austin/USA,6-11,250,17,21,Center-Forward,Inactive,N,1610612751,Nets,BKN,nets,Brooklyn,lamarcus_aldridge,2006,2021,N,Y,Y,2006,1,2,N
45,76021,Chuck,Aleksinas,Chuck Aleksinas,"Aleksinas, Chuck",C. Aleksinas,chuck-aleksinas,1959-02-26T00:00:00,Connecticut,USA,Connecticut/USA,6-11,260,1,50,Center,Inactive,N,1610612744,Warriors,GOS,warriors,Golden State,HISTADD_chuck_aleksinas,1984,1984,N,Y,Y,1982,4,76,N
46,1626146,Cliff,Alexander,Cliff Alexander,"Alexander, Cliff",C. Alexander,cliff-alexander,1995-11-16T00:00:00,Kansas,USA,Kansas/USA,6-8,240,2,34,Forward,Inactive,N,1610612757,Trail Blazers,POR,blazers,Portland,cliff_alexander,2015,2015,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
47,724,Cory,Alexander,Cory Alexander,"Alexander, Cory",C. Alexander,cory-alexander,1973-06-22T00:00:00,Virginia,USA,Virginia/USA,6-1,190,8,12,Guard,Inactive,N,1610612759,Spurs,SAS,spurs,San Antonio,cory_alexander,1995,2004,N,Y,Y,1995,1,29,N
48,2042,Courtney,Alexander,Courtney Alexander,"Alexander, Courtney",C. Alexander,courtney-alexander,1977-04-27T00:00:00,Fresno State,USA,Fresno State/USA,6-5,205,4,32,Guard,Inactive,N,1610612764,Wizards,WAS,wizards,Washington,courtney_alexander,2000,2003,N,Y,Y,2000,1,13,N
49,76022,Gary,Alexander,Gary Alexander,"Alexander, Gary",G. Alexander,gary-alexander,1969-11-01T00:00:00,South Florida,USA,South Florida/USA,6-7,240,1,16,Forward,Inactive,N,1610612739,Cavaliers,CLE,cavaliers,Cleveland,HISTADD_gary_alexander,1993,1993,N,Y,Y,Undrafted,Undrafted,Undrafted,N
50,201570,Joe,Alexander,Joe Alexander,"Alexander, Joe",J. Alexander,joe-alexander,1986-12-26T00:00:00,West Virginia,USA,West Virginia/USA,6-8,230,3,20,Forward,Inactive,N,1610612749,Bucks,MIL,bucks,Milwaukee,joe_alexander,2008,2009,Y,Y,Y,2008,1,8,N
51,1629734,Kyle,Alexander,Kyle Alexander,"Alexander, Kyle",K. Alexander,kyle-alexander,1996-10-21T00:00:00,Tennessee,Canada,Tennessee/Canada,6-10,216,2,17,Forward-Center,Inactive,N,1610612748,Heat,MIA,heat,Miami,kyle_alexander,2019,2019,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
52,1630234,Ty-Shon,Alexander,Ty-Shon Alexander,"Alexander, Ty-Shon",T. Alexander,ty-shon-alexander,1998-07-16T00:00:00,Creighton,USA,Creighton/USA,6-3,195,2,0,Guard,Inactive,N,1610612756,Suns,PHX,suns,Phoenix,ty-shon_alexander,2020,2020,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
53,2349,Victor,Alexander,Victor Alexander,"Alexander, Victor",V. Alexander,victor-alexander,1969-08-31T00:00:00,Iowa State,USA,Iowa State/USA,6-10,265,5,9,Forward,Inactive,N,1610612744,Warriors,GOS,warriors,Golden State,victor_alexander,1991,2001,N,Y,Y,1991,1,17,N
54,1629638,Nickeil,Alexander-Walker,Nickeil Alexander-Walker,"Alexander-Walker, Nickeil",N. Alexander-Walker,nickeil-alexander-walker,1998-09-02T00:00:00,Virginia Tech,Canada,Virginia Tech/Canada,6-5,205,3,6,Guard,Active,Y,1610612762,Jazz,UTA,jazz,Utah,nickeil_alexander-walker,2019,2022,Y,Y,Y,2019,1,17,N
55,76024,Steve,Alford,Steve Alford,"Alford, Steve",S. Alford,steve-alford,1964-11-23T00:00:00,Indiana,USA,Indiana/USA,6-2,183,4,4,Guard,Inactive,N,1610612742,Mavericks,DAL,mavericks,Dallas,HISTADD_steve_alford,1987,1990,N,Y,Y,1987,2,26,N
56,1628959,Rawle,Alkins,Rawle Alkins,"Alkins, Rawle",R. Alkins,rawle-alkins,1997-10-29T00:00:00,Arizona,USA,Arizona/USA,6-5,225,2,20,Guard,Inactive,N,1610612741,Bulls,CHI,bulls,Chicago,rawle_alkins,2018,2018,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
57,76028,Bob,Allen,Bob Allen,"Allen, Bob",B. Allen,bob-allen,1946-07-17T00:00:00,Marshall,USA,Marshall/USA,6-9,205,1,50,Forward,Inactive,N,1610612744,Warriors,SFW,warriors,San Francisco,HISTADD_bob_allen,1968,1968,N,Y,Y,1968,6,71,N
58,1628960,Grayson,Allen,Grayson Allen,"Allen, Grayson",G. Allen,grayson-allen,1995-10-08T00:00:00,Duke,USA,Duke/USA,6-4,198,4,12,Guard,Active,Y,1610612749,Bucks,MIL,bucks,Milwaukee,grayson_allen,2018,2022,Y,Y,Y,2018,1,21,N
59,1628386,Jarrett,Allen,Jarrett Allen,"Allen, Jarrett",J. Allen,jarrett-allen,1998-04-21T00:00:00,Texas,USA,Texas/USA,6-9,243,5,31,Center,Active,Y,1610612739,Cavaliers,CLE,cavaliers,Cleveland,jarrett_allen,2017,2022,N,Y,Y,2017,1,22,N
60,706,Jerome,Allen,Jerome Allen,"Allen, Jerome",J. Allen,jerome-allen,1973-01-28T00:00:00,Pennsylvania,USA,Pennsylvania/USA,6-4,184,2,53,Guard,Inactive,N,1610612754,Pacers,IND,pacers,Indiana,jerome_allen,1995,1996,N,Y,Y,1995,2,49,N
61,1628443,Kadeem,Allen,Kadeem Allen,"Allen, Kadeem",K. Allen,kadeem-allen,1993-01-15T00:00:00,Arizona,USA,Arizona/USA,6-1,200,3,,Guard,Inactive,N,1610612752,Knicks,NYK,knicks,New York,kadeem_allen,2017,2019,Y,Y,Y,2017,2,53,N
62,202730,Lavoy,Allen,Lavoy Allen,"Allen, Lavoy",L. Allen,lavoy-allen,1989-02-04T00:00:00,Temple,USA,Temple/USA,6-9,260,7,5,Forward-Center,Inactive,N,1610612754,Pacers,IND,pacers,Indiana,lavoy_allen,2011,2016,Y,Y,Y,2011,2,50,N
63,76027,Lucius,Allen,Lucius Allen,"Allen, Lucius",L. Allen,lucius-allen,1947-09-26T00:00:00,UCLA,USA,UCLA/USA,6-2,175,10,42,Guard,Inactive,N,1610612749,Bucks,MIL,bucks,Milwaukee,HISTADD_lucius_allen,1969,1978,N,Y,Y,1969,1,3,N
64,2124,Malik,Allen,Malik Allen,"Allen, Malik",M. Allen,malik-allen,1978-06-27T00:00:00,Villanova,USA,Villanova/USA,6-10,255,11,35,Forward,Inactive,N,1610612748,Heat,MIA,heat,Miami,malik_allen,2001,2010,N,Y,Y,Undrafted,Undrafted,Undrafted,N
65,76025,Randy,Allen,Randy Allen,"Allen, Randy",R. Allen,randy-allen,1965-01-26T00:00:00,Florida State,USA,Florida State/USA,6-8,220,2,33,Forward,Inactive,N,1610612758,Kings,SAC,kings,Sacramento,HISTADD_randy_allen,1988,1989,N,Y,Y,Undrafted,Undrafted,Undrafted,N
66,951,Ray,Allen,Ray Allen,"Allen, Ray",R. Allen,ray-allen,1975-07-20T00:00:00,Connecticut,USA,Connecticut/USA,6-5,205,18,34,Guard,Inactive,N,1610612749,Bucks,MIL,bucks,Milwaukee,ray_allen,1996,2013,N,Y,Y,1996,1,5,Y
67,2754,Tony,Allen,Tony Allen,"Allen, Tony",T. Allen,tony-allen,1982-01-11T00:00:00,Oklahoma State,USA,Oklahoma State/USA,6-4,213,14,,Guard-Forward,Inactive,N,1610612763,Grizzlies,MEM,grizzlies,Memphis,tony_allen,2004,2017,N,Y,Y,2004,1,25,N
68,76029,Odis,Allison,Odis Allison,"Allison, Odis",O. Allison,odis-allison,1949-10-02T00:00:00,UNLV,USA,UNLV/USA,6-6,195,1,22,Forward,Inactive,N,1610612744,Warriors,GOS,warriors,Golden State,HISTADD_odis_allison,1971,1971,N,Y,Y,1971,5,76,N
69,200984,Lance,Allred,Lance Allred,"Allred, Lance",L. Allred,lance-allred,1981-02-02T00:00:00,Weber State,USA,Weber State/USA,6-11,250,2,41,Center,Inactive,N,1610612739,Cavaliers,CLE,cavaliers,Cleveland,lance_allred,2007,2007,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
70,76030,Darrell,Allums,Darrell Allums,"Allums, Darrell",D. Allums,darrell-allums,1958-09-12T00:00:00,UCLA,USA,UCLA/USA,6-8,220,1,32,Forward,Inactive,N,1610612742,Mavericks,DAL,mavericks,Dallas,HISTADD_darrell_allums,1980,1980,N,Y,Y,1980,5,103,N
71,201165,Morris,Almond,Morris Almond,"Almond, Morris",M. Almond,morris-almond,1985-02-02T00:00:00,Rice,USA,Rice/USA,6-6,225,4,21,Guard,Inactive,N,1610612762,Jazz,UTA,jazz,Utah,morris_almond,2007,2011,Y,Y,Y,2007,1,25,N
72,308,Derrick,Alston,Derrick Alston,"Alston, Derrick",D. Alston,derrick-alston,1972-08-20T00:00:00,Duquesne,USA,Duquesne/USA,6-11,225,3,,Center,Inactive,N,1610612755,76ers,PHI,sixers,Philadelphia,derrick_alston,1994,1996,N,Y,Y,1994,2,33,N
73,1747,Rafer,Alston,Rafer Alston,"Alston, Rafer",R. Alston,rafer-alston,1976-07-24T00:00:00,Fresno State,USA,Fresno State/USA,6-2,175,11,11,Guard,Inactive,N,1610612745,Rockets,HOU,rockets,Houston,rafer_alston,1999,2009,Y,Y,Y,1998,2,39,N
74,1824,Peter,Aluma,Peter Aluma,"Aluma, Peter",P. Aluma,peter-aluma,1973-04-26T00:00:00,Liberty,USA,Liberty/USA,6-10,260,1,,Center,Inactive,N,1610612758,Kings,SAC,kings,Sacramento,peter_aluma,1998,1998,N,Y,Y,Undrafted,Undrafted,Undrafted,N
75,1630631,Jose,Alvarado,Jose Alvarado,"Alvarado, Jose",J. Alvarado,jose-alvarado,1998-04-12T00:00:00,Georgia Tech,USA,Georgia Tech/USA,6-0,179,1,15,Guard,Active,Y,1610612740,Pelicans,NOP,pelicans,New Orleans,jose_alvarado,2021,2022,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
76,680,John,Amaechi,John Amaechi,"Amaechi, John",J. Amaechi,john-amaechi,1970-11-26T00:00:00,Penn State,United Kingdom,Penn State/United Kingdom,6-10,270,6,13,Forward-Center,Inactive,N,1610612753,Magic,ORL,magic,Orlando,john_amaechi,1995,2002,N,Y,Y,Undrafted,Undrafted,Undrafted,N
77,732,Ashraf,Amaya,Ashraf Amaya,"Amaya, Ashraf",A. Amaya,ashraf-amaya,1971-11-23T00:00:00,Southern Illinois,USA,Southern Illinois/USA,6-8,230,2,,Forward,Inactive,N,1610612763,Grizzlies,VAN,grizzlies,Vancouver,ashraf_amaya,1995,1996,N,Y,Y,Undrafted,Undrafted,Undrafted,N
78,202329,Al-Farouq,Aminu,Al-Farouq Aminu,"Aminu, Al-Farouq",A. Aminu,al-farouq-aminu,1990-09-21T00:00:00,Wake Forest,USA,Wake Forest/USA,6-8,220,12,5,Forward,Inactive,N,1610612757,Trail Blazers,POR,blazers,Portland,al-farouq_aminu,2010,2020,N,Y,Y,2010,1,8,N
79,200811,Lou,Amundson,Lou Amundson,"Amundson, Lou",L. Amundson,lou-amundson,1982-12-07T00:00:00,UNLV,USA,UNLV/USA,6-9,220,11,17,Forward,Inactive,N,1610612756,Suns,PHX,suns,Phoenix,lou_amundson,2006,2015,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
80,76034,Bob,Anderegg,Bob Anderegg,"Anderegg, Bob",B. Anderegg,bob-anderegg,1937-08-24T00:00:00,Michigan State,USA,Michigan State/USA,6-3,200,1,18,Forward,Inactive,N,1610612752,Knicks,NYK,knicks,New York,HISTADD_bob_anderegg,1959,1959,N,Y,Y,1959,3,20,N
81,2365,Chris,Andersen,Chris Andersen,"Andersen, Chris",C. Andersen,chris-andersen,1978-07-07T00:00:00,Blinn J.C.,USA,Blinn J.C./USA,6-10,245,15,,Forward-Center,Inactive,N,1610612743,Nuggets,DEN,nuggets,Denver,chris_andersen,2001,2016,N,Y,Y,Undrafted,Undrafted,Undrafted,N
