,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,HTML Reference
67,Malik Allen,2002,2011,F-C,6-10,255,"June 27, 1978",Villanova,/players/a/allenma01.html
68,Randy Allen,1989,1990,F,6-8,220,"January 26, 1965",Florida State,/players/a/allenra01.html
69,Ray Allen,1997,2014,G,6-5,205,"July 20, 1975",UConn,/players/a/allenra02.html
70,Tony Allen,2005,2018,G-F,6-4,213,"January 11, 1982","Butler County Community College, Oklahoma State",/players/a/allento01.html
71,Willie Allen,1972,1972,F,6-6,230,"February 8, 1949",Miami (FL),/players/a/allenwi01.html
72,Odis Allison,1972,1972,F,6-6,195,"October 2, 1949",UNLV,/players/a/allisod01.html
73,Lance Allred,2008,2008,C,6-11,250,"February 2, 1981","Utah, Weber State",/players/a/allrela01.html
74,Darrell Allums,1981,1981,F,6-9,220,"September 12, 1958",UCLA,/players/a/allumda01.html
75,Morris Almond,2008,2012,G,6-6,225,"February 2, 1985",Rice University,/players/a/almonmo01.html
76,Derrick Alston,1995,1997,F,6-11,225,"August 20, 1972",Duquesne,/players/a/alstode01.html
77,Rafer Alston,2000,2010,G,6-2,171,"July 24, 1976",Fresno State,/players/a/alstora01.html
78,Peter Aluma,1999,1999,C,6-10,260,"April 23, 1973",Liberty,/players/a/alumape01.html
79,Jose Alvarado,2022,2023,G,6-0,179,"April 12, 1998",Georgia Tech,/players/a/alvarjo01.html
80,John Amaechi,1996,2003,C-F,6-10,270,"November 26, 1970","Vanderbilt, Penn State",/players/a/amaecjo01.html
81,Ashraf Amaya,1996,1997,F,6-8,230,"November 23, 1971",Southern Illinois,/players/a/amayaas01.html
82,Al-Farouq Aminu,2011,2021,F,6-8,220,"September 21, 1990",Wake Forest,/players/a/aminual01.html
83,Lou Amundson,2007,2016,F-C,6-9,220,"December 7, 1982",UNLV,/players/a/amundlo01.html
84,Bob Anderegg,1960,1960,F-G,6-3,200,"August 24, 1937",Michigan State,/players/a/anderbo01.html
85,Chris Andersen,2002,2017,C-F,6-10,245,"July 7, 1978",Blinn College,/players/a/anderch01.html
86,David Andersen,2010,2011,C,6-11,245,"June 23, 1980",,/players/a/anderda03.html
87,Alan Anderson,2006,2017,G-F,6-6,220,"October 16, 1982",Michigan State,/players/a/anderal01.html
88,Andrew Anderson,1968,1970,G,6-2,184,"July 6, 1945",Canisius,/players/a/anderan01.html
89,Antonio Anderson,2010,2010,G,6-6,215,"June 5, 1985",Memphis,/players/a/anderan02.html
90,Cliff Anderson,1968,1971,G-F,6-2,200,"September 7, 1944",Saint Joseph's,/players/a/andercl01.html
91,Dan Anderson,1968,1969,C,6-10,230,"February 15, 1943",Augsburg College,/players/a/anderda01.html
92,Dan Anderson,1975,1976,G,6-2,185,"January 1, 1951",USC,/players/a/anderda02.html
93,Derek Anderson,1998,2008,G,6-5,194,"July 18, 1974","Ohio State, Kentucky",/players/a/anderde01.html
94,Dwight Anderson,1983,1983,G,6-3,185,"December 28, 1960","Kentucky, USC",/players/a/anderdw01.html
95,Eric Anderson,1993,1994,F,6-9,220,"May 26, 1970",Indiana,/players/a/anderer01.html
96,Greg Anderson,1988,1998,F-C,6-10,230,"June 22, 1964",Houston,/players/a/andergr01.html
97,J.J. Anderson,1983,1985,F,6-8,195,"September 23, 1960",Bradley,/players/a/anderjj01.html
98,James Anderson,2011,2016,G-F,6-6,213,"March 25, 1989",Oklahoma State,/players/a/anderja01.html
99,Jerome Anderson,1976,1977,G,6-5,195,"October 9, 1953",West Virginia,/players/a/anderje01.html
100,Justin Anderson,2016,2022,G,6-6,230,"November 19, 1993",Virginia,/players/a/anderju01.html
101,Kenny Anderson,1992,2005,G,6-0,168,"October 9, 1970",Georgia Tech,/players/a/anderke01.html
102,Kim Anderson,1979,1979,F,6-7,200,"May 12, 1955",Missouri,/players/a/anderki01.html
103,Kyle Anderson,2015,2023,F-G,6-9,230,"September 20, 1993",UCLA,/players/a/anderky01.html
104,Michael Anderson,1989,1989,G,5-11,184,"March 23, 1966",Drexel,/players/a/andermi01.html
105,Nick Anderson,1990,2002,F-G,6-6,205,"January 20, 1968",Illinois,/players/a/anderni01.html
106,Richard Anderson,1983,1990,F-C,6-10,240,"November 19, 1960",UC Santa Barbara,/players/a/anderri01.html
107,Ron Anderson,1985,1994,F-G,6-7,215,"October 15, 1958",Fresno State,/players/a/anderro01.html
108,Ryan Anderson,2009,2020,F,6-9,240,"May 6, 1988",California,/players/a/anderry01.html
109,Shandon Anderson,1997,2006,F-G,6-6,208,"December 31, 1973",Georgia,/players/a/andersh01.html
110,Willie Anderson,1989,1997,G-F,6-7,190,"January 8, 1967",Georgia,/players/a/anderwi01.html
111,Wally Anderzunas,1970,1970,C-F,6-7,220,"January 11, 1946",Creighton,/players/a/anderwa01.html
112,Martynas Andriuškevičius,2006,2006,C,7-2,240,"March 12, 1986",,/players/a/andrima01.html
113,Don Anielak,1955,1955,F,6-7,190,"November 1, 1930",Missouri State,/players/a/anieldo01.html
114,Ike Anigbogu,2018,2019,F-C,6-10,250,"October 17, 1998",UCLA,/players/a/anigbik01.html
115,Michael Ansley,1990,1992,F,6-7,225,"February 8, 1967",Alabama,/players/a/anslemi01.html
116,Chris Anstey,1998,2000,C,7-0,249,"January 1, 1975",,/players/a/anstech01.html
117,Giannis Antetokounmpo,2014,2023,F-G,6-11,242,"December 6, 1994",,/players/a/antetgi01.html
118,Kostas Antetokounmpo,2019,2021,F,6-10,200,"November 20, 1997",Dayton,/players/a/antetko01.html
119,Thanasis Antetokounmpo,2016,2023,F,6-6,219,"July 18, 1992",,/players/a/antetth01.html
120,Carmelo Anthony,2004,2022,F,6-7,238,"May 29, 1984",Syracuse,/players/a/anthoca01.html
121,Cole Anthony,2021,2023,G,6-2,185,"May 15, 2000",UNC,/players/a/anthoco01.html
122,Greg Anthony,1992,2002,G,6-0,176,"November 15, 1967","University of Portland, UNLV",/players/a/anthogr01.html
123,Joel Anthony,2008,2017,C,6-9,245,"August 9, 1982",UNLV,/players/a/anthojo01.html
124,Pero Antić,2014,2015,C-F,6-11,260,"July 29, 1982",,/players/a/anticpe01.html
125,OG Anunoby,2018,2023,F,6-7,232,"July 17, 1997",Indiana,/players/a/anunoog01.html
126,Keith Appling,2016,2016,G,6-1,185,"February 13, 1992",Michigan State,/players/a/applike01.html
127,Rafael Araújo,2005,2007,C,6-11,280,"August 12, 1980",BYU,/players/a/araujra01.html
128,Stacey Arceneaux,1962,1962,F,6-4,210,"February 17, 1936",Iowa State,/players/a/arcenst01.html
129,Robert Archibald,2003,2004,F,6-11,250,"March 29, 1980",Illinois,/players/a/archiro01.html
130,Tiny Archibald,1971,1984,G,6-1,150,"September 2, 1948",Texas-El Paso,/players/a/architi01.html
131,Ryan Arcidiacono,2018,2023,G,6-3,195,"March 26, 1994",Villanova,/players/a/arcidry01.html
132,Jim Ard,1971,1978,F-C,6-8,215,"September 19, 1948",Cincinnati,/players/a/ardji01.html
133,Gilbert Arenas,2002,2012,G,6-4,191,"January 6, 1982",Arizona,/players/a/arenagi01.html
134,Trevor Ariza,2005,2022,F,6-8,215,"June 30, 1985",UCLA,/players/a/arizatr01.html
135,Paul Arizin,1951,1962,F-G,6-4,190,"April 9, 1928",Villanova,/players/a/arizipa01.html
136,Joe Arlauckas,1988,1988,F,6-9,230,"July 20, 1965",Niagara University,/players/a/arlaujo01.html
137,B.J. Armstrong,1990,2000,G,6-2,175,"September 9, 1967",Iowa,/players/a/armstbj01.html
138,Bob Armstrong,1957,1957,C-F,6-8,220,"June 17, 1933",Michigan State,/players/a/armstbo01.html
139,Brandon Armstrong,2002,2004,G,6-5,188,"June 16, 1980",Pepperdine,/players/a/armstbr01.html
140,Curly Armstrong,1949,1951,G-F,5-11,170,"November 1, 1918",Indiana,/players/a/armstcu01.html
141,Darrell Armstrong,1995,2008,G,6-0,170,"June 22, 1968",Fayetteville State University,/players/a/armstda01.html
142,Hilton Armstrong,2007,2014,F-C,6-11,235,"November 11, 1984",UConn,/players/a/armsthi01.html
143,Tate Armstrong,1978,1979,G,6-3,175,"October 5, 1955",Duke,/players/a/armstta01.html
144,Jesse Arnelle,1956,1956,F,6-5,220,"December 30, 1933",Penn State,/players/a/arnelje01.html
145,Jay Arnette,1964,1966,G,6-2,175,"December 19, 1938",Texas,/players/a/arnetja01.html
146,Bob Arnzen,1970,1974,F,6-5,205,"November 3, 1947",Notre Dame,/players/a/arnzebo01.html
147,Carlos Arroyo,2002,2011,G,6-2,202,"July 30, 1979",Florida International University,/players/a/arroyca01.html
148,Darrell Arthur,2009,2018,F,6-9,235,"March 25, 1988",Kansas,/players/a/arthuda01.html
149,John Arthurs,1970,1970,G,6-4,185,"August 15, 1947",Tulane,/players/a/arthujo01.html
150,Jamel Artis,2018,2018,G-F,6-7,213,"January 12, 1993",Pitt,/players/a/artisja01.html
151,Ömer Aşık,2011,2018,C,7-0,255,"July 4, 1986",,/players/a/asikom01.html
152,Vincent Askew,1988,1998,G-F,6-6,210,"February 28, 1966",Memphis,/players/a/askewvi01.html
153,Keith Askins,1991,1999,G-F,6-7,197,"December 15, 1967",Alabama,/players/a/askinke01.html
154,Don Asmonga,1954,1954,G,6-2,185,"February 15, 1928",Alliance College,/players/a/asmondo01.html
155,Dick Atha,1956,1958,G,6-2,190,"September 21, 1931",Indiana State University,/players/a/athadi01.html
156,Chucky Atkins,2000,2010,G,5-11,160,"August 14, 1974",South Florida,/players/a/atkinch01.html
157,Al Attles,1961,1971,G,6-0,175,"November 7, 1936",North Carolina A&T,/players/a/attleal01.html
158,Chet Aubuchon,1947,1947,G,5-10,137,"May 18, 1916",Michigan State,/players/a/aubucch01.html
159,Stacey Augmon,1992,2006,F-G,6-8,205,"August 1, 1968",UNLV,/players/a/augmost01.html
160,D.J. Augustin,2009,2022,G,5-11,183,"November 10, 1987",Texas,/players/a/augusdj01.html
161,James Augustine,2007,2008,F,6-10,235,"February 27, 1984",Illinois,/players/a/augusja01.html
162,Isaac Austin,1992,2002,C,6-10,255,"August 18, 1969",Arizona State,/players/a/austiis01.html
163,Johnny Austin,1967,1968,G,6-0,170,"August 31, 1944",Boston College,/players/a/austijo01.html
164,Ken Austin,1984,1984,F,6-9,205,"July 15, 1961",Rice University,/players/a/austike01.html
165,Deni Avdija,2021,2023,G-F,6-9,210,"January 3, 2001",,/players/a/avdijde01.html
166,Anthony Avent,1993,2000,F,6-9,235,"October 18, 1969",Seton Hall,/players/a/aventan01.html
167,Bird Averitt,1974,1978,G,6-1,170,"July 22, 1952",Pepperdine,/players/a/averibi01.html
168,William Avery,2000,2002,G,6-2,197,"August 8, 1979",Duke,/players/a/averywi01.html
169,Dennis Awtrey,1971,1982,C,6-10,235,"February 22, 1948",Santa Clara,/players/a/awtrede01.html
170,Joel Ayayi,2022,2022,G,6-5,180,"March 5, 2000",Gonzaga,/players/a/ayayijo01.html
171,Gustavo Ayón,2012,2014,C,6-10,250,"April 1, 1985",,/players/a/ayongu01.html
172,Jeff Ayres,2010,2016,F,6-9,240,"April 29, 1987",Arizona State,/players/p/pendeje02.html
173,Deandre Ayton,2019,2023,C,6-11,250,"July 23, 1998",Arizona,/players/a/aytonde01.html
174,Kelenna Azubuike,2007,2012,G,6-5,220,"December 16, 1983",Kentucky,/players/a/azubuke01.html
175,Udoka Azubuike,2021,2022,C,6-10,280,"September 17, 1999",Kansas,/players/a/azubuud01.html
176,Chris Babb,2014,2014,G,6-5,225,"February 14, 1990","Penn State, Iowa State",/players/b/babbch01.html
177,Luke Babbitt,2011,2018,F,6-9,225,"June 20, 1989",Nevada,/players/b/babbilu01.html
178,Miloš Babić,1991,1992,C-F,7-0,240,"November 23, 1968",Tennessee Technological University,/players/b/babicmi01.html
179,Johnny Bach,1949,1949,F-G,6-2,180,"July 10, 1924",Fordham,/players/b/bachjo01.html
180,Dwayne Bacon,2018,2021,G,6-6,221,"August 30, 1995",Florida State,/players/b/bacondw01.html
181,Henry Bacon,1973,1973,G,6-3,205,"July 5, 1948",Louisville,/players/b/baconhe01.html
182,Jim Baechtold,1953,1957,F-G,6-4,205,"December 9, 1927",Eastern Kentucky University,/players/b/baechji01.html
183,Dalibor Bagarić,2001,2003,C,7-1,255,"February 7, 1980",,/players/b/bagarda01.html
184,John Bagley,1983,1994,G,6-0,185,"April 23, 1960",Boston College,/players/b/baglejo01.html
185,Marvin Bagley III,2019,2022,F-C,6-11,235,"March 14, 1999",Duke,/players/b/baglema01.html
186,Carl Bailey,1982,1982,C,7-0,210,"April 23, 1958",Tuskegee University,/players/b/baileca01.html
187,Gus Bailey,1975,1980,G-F,6-5,185,"February 18, 1951",Texas-El Paso,/players/b/bailegu01.html
188,James Bailey,1980,1988,F-C,6-9,220,"May 21, 1957",Rutgers University,/players/b/baileja01.html
189,Thurl Bailey,1984,1999,F-C,6-11,215,"April 7, 1961",NC State,/players/b/baileth01.html
190,Toby Bailey,1999,2000,G,6-6,213,"November 19, 1975",UCLA,/players/b/baileto01.html
191,Cameron Bairstow,2015,2016,F-C,6-9,250,"December 7, 1990",New Mexico,/players/b/bairsca01.html
192,Jimmie Baker,1976,1976,F,6-9,220,"December 25, 1953",Hawaii,/players/b/bakerji01.html
193,Mark Baker,1999,1999,G,6-1,175,"November 11, 1969",Ohio State,/players/b/bakerla01.html
194,Maurice Baker,2005,2005,G,6-1,175,"July 28, 1979",Oklahoma State,/players/b/bakerma01.html
195,Norm Baker,1947,1947,G,6-0,180,"February 17, 1923",,/players/b/bakerno01.html
196,Ron Baker,2017,2019,G,6-4,220,"March 30, 1993",Wichita State,/players/b/bakerro01.html
197,Vin Baker,1994,2006,F,6-11,232,"November 23, 1971",University of Hartford,/players/b/bakervi01.html
198,Wade Baldwin,2017,2019,G,6-4,200,"March 29, 1996",Vanderbilt,/players/b/baldwwa01.html
199,Renaldo Balkman,2007,2012,F,6-8,208,"July 14, 1984",South Carolina,/players/b/balkmre01.html
200,Cedric Ball,1991,1991,F,6-8,210,"April 16, 1968",UNC Charlotte,/players/b/ballce01.html
201,LaMelo Ball,2021,2022,G,6-7,180,"August 22, 2001",,/players/b/ballla01.html
202,Lonzo Ball,2018,2022,G,6-6,190,"October 27, 1997",UCLA,/players/b/balllo01.html
203,Greg Ballard,1978,1989,F,6-7,215,"January 29, 1955",Oregon,/players/b/ballagr01.html
204,Herschel Baltimore,1947,1947,F,6-4,195,"June 21, 1921",Penn State,/players/b/baltihe01.html
205,Mo Bamba,2019,2023,C,7-0,231,"May 12, 1998",Texas,/players/b/bambamo01.html
206,Paolo Banchero,2023,2023,F,6-10,250,"November 12, 2002",Duke,/players/b/banchpa01.html
207,Desmond Bane,2021,2023,G,6-5,215,"June 25, 1998",TCU,/players/b/banede01.html
208,Gene Banks,1982,1987,F-G,6-7,215,"May 15, 1959",Duke,/players/b/banksge01.html
209,Marcus Banks,2004,2011,G,6-2,200,"November 19, 1981",UNLV,/players/b/banksma01.html
210,Walker Banks,1971,1971,C,6-10,205,"August 26, 1947",Western Kentucky,/players/b/bankswa01.html
211,Ken Bannister,1985,1991,F-C,6-9,235,"April 1, 1960","Indiana State University, Saint Augustine's College",/players/b/bannike01.html
212,Mike Bantom,1974,1982,F-C,6-9,200,"December 3, 1951",Saint Joseph's,/players/b/bantomi01.html
213,Dalano Banton,2022,2023,G-F,6-9,204,"November 7, 1999",Nebraska,/players/b/bantoda01.html
214,Cat Barber,2022,2022,G,6-2,190,"July 25, 1994",NC State,/players/b/barbeca01.html
215,John Barber,1957,1957,F,6-6,210,"June 27, 1927","California State University, Los Angeles",/players/b/barbejo01.html
216,Leandro Barbosa,2004,2017,G,6-3,194,"November 28, 1982",,/players/b/barbole01.html
217,Steve Bardo,1992,1996,G,6-5,190,"April 5, 1968",Illinois,/players/b/bardost01.html
218,J.J. Barea,2007,2020,G,5-10,180,"June 26, 1984",Northeastern University,/players/b/bareajo01.html
219,Andrea Bargnani,2007,2016,F-C,7-0,245,"October 26, 1985",,/players/b/bargnan01.html
220,Cliff Barker,1950,1952,G,6-2,185,"January 15, 1921",Kentucky,/players/b/barkecl01.html
221,Tom Barker,1977,1979,C-F,6-11,225,"March 11, 1955",Hawaii,/players/b/barketo01.html
222,Charles Barkley,1985,2000,F,6-6,252,"February 20, 1963",Auburn,/players/b/barklch01.html
223,Erick Barkley,2001,2002,G,6-1,177,"February 21, 1978",St. John's,/players/b/barkler01.html
224,Don Barksdale,1952,1955,F-C,6-6,200,"March 31, 1923",UCLA,/players/b/barksdo01.html
225,Harrison Barnes,2013,2023,F,6-8,225,"May 30, 1992",UNC,/players/b/barneha02.html
226,Harry Barnes,1969,1969,F,6-3,205,"July 25, 1945",Northeastern University,/players/b/barneha01.html
227,Jim Barnes,1965,1971,C-F,6-8,210,"April 13, 1941",Texas-El Paso,/players/b/barneji01.html
228,Marvin Barnes,1975,1980,F-C,6-8,210,"July 27, 1952",Providence,/players/b/barnema01.html
229,Matt Barnes,2004,2017,F,6-7,226,"March 9, 1980",UCLA,/players/b/barnema02.html
230,Scottie Barnes,2022,2023,G-F,6-9,227,"August 1, 2001",Florida State,/players/b/barnesc01.html
231,Dick Barnett,1960,1974,G-F,6-4,190,"October 2, 1936",Tennessee State,/players/b/barnedi01.html
232,Jim Barnett,1967,1977,G-F,6-4,170,"July 7, 1944",Oregon,/players/b/barneji02.html
233,Nathaniel Barnett,1976,1976,G,6-3,175,"January 29, 1953",University of Akron,/players/b/barnena01.html
234,John Barnhill,1963,1972,G,6-1,180,"March 20, 1938",Tennessee State,/players/b/barnhjo01.html
235,Norton Barnhill,1977,1977,G,6-4,205,"July 15, 1953",Washington State,/players/b/barnhno01.html
236,Leo Barnhorst,1950,1954,F-G,6-4,190,"May 11, 1924",Notre Dame,/players/b/barnhle01.html
237,John Barr,1947,1947,F,6-3,205,"August 18, 1918",Penn State,/players/b/barrjo01.html
238,Mike Barr,1973,1977,G,6-3,180,"October 19, 1950",Duquesne,/players/b/barrmi01.html
239,Moe Barr,1971,1971,G,6-4,195,"June 19, 1944",Duquesne,/players/b/barrmo01.html
240,Andre Barrett,2005,2008,G,5-10,172,"February 21, 1982",Seton Hall,/players/b/barrean01.html
241,Ernie Barrett,1954,1956,G-F,6-3,180,"August 27, 1929",Kansas State,/players/b/barreer01.html
242,Mike Barrett,1970,1973,G,6-2,155,"September 5, 1943",West Virginia Tech,/players/b/barremi01.html
243,RJ Barrett,2020,2023,G-F,6-6,214,"June 14, 2000",Duke,/players/b/barrerj01.html
244,Earl Barron,2006,2015,C,7-0,250,"August 14, 1981",Memphis,/players/b/barroea01.html
245,Dana Barros,1990,2004,G,5-11,163,"April 13, 1967",Boston College,/players/b/barroda01.html
246,Brent Barry,1996,2009,G,6-6,185,"December 31, 1971",Oregon State,/players/b/barrybr01.html
247,Drew Barry,1998,2000,G,6-5,191,"February 17, 1973",Georgia Tech,/players/b/barrydr01.html
248,Jon Barry,1993,2006,G,6-4,195,"July 25, 1969","University of the Pacific, Georgia Tech",/players/b/barryjo01.html
249,Rick Barry,1966,1980,F,6-7,205,"March 28, 1944",Miami (FL),/players/b/barryri01.html
250,Ed Bartels,1950,1951,F,6-5,195,"October 8, 1925",NC State,/players/b/barteed01.html
251,Vic Bartolome,1972,1972,C,7-0,230,"September 29, 1948",Oregon State,/players/b/bartovi01.html
252,Will Barton,2013,2023,G,6-6,181,"January 6, 1991",Memphis,/players/b/bartowi01.html
253,Eddie Basden,2006,2006,G,6-5,215,"February 15, 1983",UNC Charlotte,/players/b/basdeed01.html
254,Jerry Baskerville,1976,1976,F,6-7,190,"November 10, 1951",Temple,/players/b/baskeje01.html
255,Brandon Bass,2006,2017,F,6-8,250,"April 30, 1985",LSU,/players/b/bassbr01.html
256,Paris Bass,2022,2022,F,6-8,200,"August 29, 1995",Detroit Mercy,/players/b/basspa01.html
257,Tim Bassett,1974,1980,F-C,6-8,225,"April 1, 1951",Georgia,/players/b/basseti01.html
258,Charles Bassey,2022,2022,C,6-11,235,"October 28, 2000",Western Kentucky,/players/b/bassech01.html
259,Maceo Baston,2003,2009,F,6-9,215,"May 29, 1975",Michigan,/players/b/bastoma01.html
260,Mengke Bateer,2002,2004,C,6-11,290,"November 20, 1975",,/players/b/bateeme01.html
261,Billy Ray Bates,1980,1983,G,6-4,210,"May 31, 1956",Kentucky State University,/players/b/batesbi01.html
262,Keita Bates-Diop,2019,2023,F,6-8,229,"January 23, 1996",Ohio State,/players/b/bateske01.html
263,Esteban Batista,2006,2007,F-C,6-10,270,"September 2, 1983",,/players/b/batises01.html
264,Mike Batiste,2003,2003,F,6-8,225,"November 21, 1977",Arizona State,/players/b/batismi01.html
